Vict Sex,Vict Descent,DATE OCC,AREA NAME,Vict Age,Vict Descent Desc,Vict Sex Desc,AREA RENT
0.0,4,2021-08-27,Harbor,39.5674100496031,Unknown,Unknown,855.17
0.0,4,2021-12-02,Newton,39.5674100496031,Unknown,Unknown,638.14
2.0,1,2021-03-18,Van Nuys,35.0,Hispanic/Latin/Mexican,Female,942.82
1.0,1,2020-12-28,Northeast,34.0,Hispanic/Latin/Mexican,Male,989.97
2.0,3,2021-07-11,Northeast,26.0,White,Female,989.97
2.0,1,2022-08-25,Mission,75.0,Hispanic/Latin/Mexican,Female,1091.44
2.0,1,2022-11-27,Van Nuys,57.0,Hispanic/Latin/Mexican,Female,942.82
2.0,0,2021-07-27,Harbor,55.0,Black,Female,855.17
1.0,1,2021-02-28,Van Nuys,52.0,Hispanic/Latin/Mexican,Male,942.82
1.0,1,2021-07-10,Mission,40.0,Hispanic/Latin/Mexican,Male,1091.44
2.0,1,2022-09-27,Southwest,25.0,Hispanic/Latin/Mexican,Female,607.75
1.0,2,2022-08-31,Topanga,37.0,Other,Male,1203.31
2.0,0,2020-11-29,Mission,23.0,Black,Female,1091.44
2.0,1,2021-10-05,Southwest,23.0,Hispanic/Latin/Mexican,Female,607.75
2.0,1,2022-12-02,Harbor,39.0,Hispanic/Latin/Mexican,Female,855.17
1.0,2,2021-08-20,N Hollywood,39.5674100496031,Other,Male,670.05
1.0,1,2021-07-19,Southwest,26.0,Hispanic/Latin/Mexican,Male,607.75
1.0,0,2022-07-19,Devonshire,61.0,Black,Male,1146.01
0.0,4,2021-08-25,Devonshire,39.5674100496031,Unknown,Unknown,1146.01
2.0,1,2020-09-09,Hollenbeck,21.0,Hispanic/Latin/Mexican,Female,1263.48
0.0,4,2021-01-01,West Valley,39.5674100496031,Unknown,Unknown,814.45
2.0,1,2022-05-25,Devonshire,21.0,Hispanic/Latin/Mexican,Female,1146.01
1.0,1,2021-05-16,N Hollywood,21.0,Hispanic/Latin/Mexican,Male,670.05
2.0,0,2022-04-02,West Valley,34.0,Black,Female,814.45
1.0,3,2020-12-25,N Hollywood,65.0,White,Male,670.05
0.0,4,2021-01-16,77th Street,39.5674100496031,Unknown,Unknown,500.0
1.0,1,2022-01-06,Topanga,35.0,Hispanic/Latin/Mexican,Male,1203.31
1.0,3,2020-05-21,N Hollywood,34.0,White,Male,670.05
2.0,1,2022-02-18,Central,50.0,Hispanic/Latin/Mexican,Female,525.0
1.0,2,2020-11-17,N Hollywood,47.0,Other,Male,670.05
0.0,4,2022-09-03,Topanga,39.5674100496031,Unknown,Unknown,1203.31
0.0,4,2020-11-17,Olympic,39.5674100496031,Unknown,Unknown,897.93
1.0,2,2020-02-25,Hollywood,27.0,Other,Male,578.81
1.0,3,2022-02-16,Southwest,20.0,White,Male,607.75
2.0,1,2020-01-23,Mission,16.0,Hispanic/Latin/Mexican,Female,1091.44
1.0,2,2022-08-21,Northeast,25.0,Other,Male,989.97
2.0,0,2022-09-27,Newton,65.0,Black,Female,638.14
1.0,1,2022-07-04,Hollenbeck,49.0,Hispanic/Latin/Mexican,Male,1263.48
2.0,1,2022-10-27,Hollenbeck,32.0,Hispanic/Latin/Mexican,Female,1263.48
0.0,4,2021-04-02,West LA,39.5674100496031,Unknown,Unknown,1039.46
